id,transactionId,deliveryDate,deliveryLocation,numberOfShipments,nopol,notes,status,geom,createdAt,updatedAt,details
8fdb107d-c97e-4395-a28c-fff3ec7bc741,acc34aa8-5a22-4acd-a37f-c0d954cf529c,2026-03-11 00:00:00,"JL IMOGIRI TIMUR NO 139 C, GIWANGAN, UMBULHARJO, YOGYAKARTA, DIY",4,AB 8446 AY,,PENDING,,2026-03-11 05:14:12.765,2026-03-11 05:14:12.765,Auto generated dari transaksi TRX-2026-00008. Driver: AGUS SUYANTO
7f9ad075-2aa1-40da-be35-a9398f6bdb6e,347cfb7e-928c-4b15-ba44-4ed299a85245,2026-03-11 00:00:00,"JL. PURA JL. PLUMBON NO. 381, JOMBLANGAN, BANGUNTAPAN, BANTUL",9,AB 8098 PK,,PENDING,,2026-03-11 07:40:02.307,2026-03-11 07:40:02.307,Auto generated dari transaksi TRX-2026-00027. Driver: AKHMAD KHOIRUL BARIUSYAFI
3352712d-182b-4925-8f8f-5a0fe56cc799,209ce646-e3b4-4dc4-a76d-843b8b5675a8,2026-03-11 00:00:00,TOKO BU PARMI,10,AB 8839 UF,TOKO BU PARMI,DELIVERED,,2026-03-11 05:59:07.589,2026-03-11 06:25:31.698,Auto generated dari transaksi TRX-2026-00014. Driver: LATHIEF NUR S
21f3e3dc-b504-44e2-a5c4-7124f355a119,3ca71272-9663-42ae-955c-75537348fda4,2026-03-11 00:00:00,"WIYORO BATU RETNO, KEC. BANGUNTAPAN, BANTUL",6,AB 8098 PK,,PENDING,,2026-03-11 07:15:01.016,2026-03-11 07:15:01.016,Auto generated dari transaksi TRX-2026-00023. Driver: AKHMAD KHOIRUL BARIUSYAFI
27c63183-e658-4975-b34e-c1cdb5c2c47b,10643248-1f68-4cf9-8e44-7de3cb52ba9e,2026-03-11 00:00:00,"JL. LAKSDA ADISUCIPTO NO KM 7,5, JANTI, CATURTUNGAL, DEPOK",2,AB 8098 PK,,PENDING,,2026-03-11 06:16:43.987,2026-03-11 06:16:43.987,Auto generated dari transaksi TRX-2026-00017. Driver: AKHMAD KHOIRUL BARIUSYAFI
9e2c4081-5cb3-4294-a3b6-248331675c00,136021f1-1d04-4f54-be06-6d43bb06b0da,2026-03-11 00:00:00,"JL. LAKSDA ADISUCIPTO, JL. TAMBAK BAYAN NO. 15, JANTI, CATURTUNGGAL. DEPOK, SLEMAN",3,AB 8098 PK,,PENDING,,2026-03-11 06:19:58.32,2026-03-11 06:19:58.32,Auto generated dari transaksi TRX-2026-00018. Driver: AKHMAD KHOIRUL BARIUSYAFI
12f8ed51-0254-40fa-a596-ff227ff7ffd3,f54f3742-e1e6-4b5a-92e3-a2ba31db5121,2026-03-11 00:00:00,MJ MART,10,AB 8839 UF,MJ MART,DELIVERED,,2026-03-11 05:44:34.7,2026-03-11 07:33:47.143,Auto generated dari transaksi TRX-2026-00011. Driver: LATHIEF NUR S
cf721bd5-97a8-47b3-b6f4-2c7f8d7dc4f6,e818d081-1f81-406f-ae02-5ad1f72ce123,2026-03-11 00:00:00,"JL. SANTAN, KALONGAN, MAGUWOHARJO, BANGUNTAPAN, BANTUL",2,AB 8098 PK,,PENDING,,2026-03-11 06:25:36.809,2026-03-11 06:25:36.809,Auto generated dari transaksi TRX-2026-00019. Driver: AKHMAD KHOIRUL BARIUSYAFI
47e75413-944c-48e3-bb44-50a76fc0bc38,569ba6b6-ee15-49fb-a013-df9d7cf05bb3,2026-03-11 00:00:00,TOKO TIMBUL JAYA,10,AB 8839 UF,120ml : 10,DELIVERED,,2026-03-11 07:07:01.801,2026-03-14 15:24:32.213,Auto generated dari transaksi TRX-2026-00022. Driver: LATHIEF NUR S
bf368dcf-fc8b-4f37-860e-0f68ee24cb74,cb483f27-3729-4943-86db-1b68aa081443,2026-03-11 00:00:00,"WIYORO BATU RETNO, KEC. BANGUNTAPAN, BANTUL",4,AB 8098 PK,,PENDING,,2026-03-11 07:15:01.041,2026-03-11 07:15:01.041,Auto generated dari transaksi TRX-2026-00024. Driver: AKHMAD KHOIRUL BARIUSYAFI
0c8f2b55-37c7-43a6-8208-2996cdaff6ec,d15710af-f317-4bff-aca1-9e1cc7da3ba1,2026-03-11 00:00:00,"SOROWAJAN, BANGUNTAPAN, KEC. BANGUNTAPAN, BANTUL",2,AB 8098 PK,,PENDING,,2026-03-11 06:52:47.047,2026-03-11 06:52:47.047,Auto generated dari transaksi TRX-2026-00020. Driver: AKHMAD KHOIRUL BARIUSYAFI
e433128d-fd16-4753-b27e-a011d4b5a9b4,bcdac90d-c0da-47ba-88f1-711426f43a39,2026-03-11 00:00:00,"JOGORAGAN, BANGUNTAPAN, BANTUL PRINGGOLAYAN, BANGUNTAPAN, KEC. BANGUNTAPAN, BANTUL",2,AB 8098 PK,,PENDING,,2026-03-11 07:25:34.208,2026-03-11 07:25:34.208,Auto generated dari transaksi TRX-2026-00025. Driver: AKHMAD KHOIRUL BARIUSYAFI
b7fdb5b0-ba55-438d-a01f-3d1b006343bd,f022cb91-cc06-4fa6-bcb3-4b754cea7f64,2026-03-11 00:00:00,"6C25+JC Banguntapan, Bantul Regency, Special Region of Yogyakarta",6,AB 8098 PK,,PENDING,,2026-03-11 08:28:16.191,2026-03-11 08:28:16.191,Auto generated dari transaksi TRX-2026-00028. Driver: AKHMAD KHOIRUL BARIUSYAFI
3d1b82ab-901e-467e-b0f6-cb65f13c895c,341a5d10-44b1-4a12-b850-0027bfe5e27c,2026-03-11 00:00:00,TOKO FAI,5,AB 8839 UF,TOKO FAI,DELIVERED,,2026-03-11 04:59:53.308,2026-03-14 15:23:32.325,Auto generated dari transaksi TRX-2026-00004. Driver: LATHIEF NUR S
e5f9f4e4-9f6f-425a-8929-f5cc13e8881a,e1a8e3a3-5f81-4143-9f43-02c96de2ed0d,2026-03-11 00:00:00,"KRINGINAN, TIRTOMARTANI, KALASAN, SLEMAN",6,,,ON_DELIVERY,,2026-03-11 08:44:30.579,2026-03-11 08:44:30.724,Auto generated dari transaksi TRX-2026-00030. Driver belum ditentukan
47d0f41d-b22a-4bd3-9e7f-d4d036aa63fc,78b56524-20d9-4545-9145-49706a209dd9,2026-03-11 00:00:00,"6F92+5FV, Mangunan, Kalitirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573",5,AB 8098 PK,,DELIVERED,,2026-03-11 08:56:33.935,2026-03-11 08:56:34.105,Auto generated dari transaksi TRX-2026-00031. Driver: AKHMAD KHOIRUL BARIUSYAFI
c11cdada-6d1f-4de7-b22a-3d303eb52fba,87c4c864-02cd-47f6-b1c1-ebb4c99b2eb2,2026-03-11 00:00:00,"MAGUWOHARJO,KAB.SLEMAN, DIY",2,AB 8098 PK,,DELIVERED,,2026-03-11 09:17:04.602,2026-03-11 09:17:04.759,Auto generated dari transaksi TRX-2026-00033. Driver: AKHMAD KHOIRUL BARIUSYAFI
9853f099-3807-4166-ad34-6291bca27c81,3f0630e1-7cfc-4fb7-b471-44914a886d13,2026-03-11 00:00:00,Jl candi Gebang,10,AB 8098 PK,,DELIVERED,,2026-03-11 09:49:43.091,2026-03-11 09:49:43.241,Auto generated dari transaksi TRX-2026-00034. Driver: AKHMAD KHOIRUL BARIUSYAFI
3f6f88ab-e4ab-4929-8108-2c167e37f4de,e444afa9-f487-4ac6-849e-5c258ff99b17,2026-03-11 00:00:00,TOKO MANDIRI BTJ,10,AB 8839 UF,120ml : 10,DELIVERED,,2026-03-11 10:42:49.908,2026-03-14 15:24:05.837,Auto generated dari transaksi TRX-2026-00037. Driver: LATHIEF NUR S
9d9c12db-6d28-4db9-b030-cff3102df6cd,fc0ad4b1-c070-4c41-86c8-0091a59bb96a,2026-03-12 00:00:00,CAMILAN BU TARI,1,B 484 T,,DELIVERED,,2026-03-12 04:28:55.091,2026-03-12 04:28:55.206,Auto generated dari transaksi TRX-2026-00049. Driver: bhagas
a0a1a6c5-43c8-4cf5-b83b-050cbe94bb83,3c4e2a6d-5cad-4b71-8f87-2cfd26be1fbf,2026-03-12 00:00:00,"8CQ5+6VX New ully salon rias dan spa, Jl. Pakem - Turi, blembem, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta",5,AB 8098 PK,,PENDING,,2026-03-12 04:55:41.235,2026-03-12 04:55:41.235,Auto generated dari transaksi TRX-2026-00054. Driver: AKHMAD KHOIRUL BARIUSYAFI
8538b8c8-b0d8-4c21-8e19-ae46b78a8b44,df014dc2-2a67-40b0-bbac-01ee140114bb,2026-03-11 00:00:00,KLINIK MYDERVIA,11,AB 8839 UF,120ml : 14 220ml : 11,DELIVERED,,2026-03-11 10:40:03.329,2026-03-14 15:24:22.508,Auto generated dari transaksi TRX-2026-00036. Driver: LATHIEF NUR S
a2330c49-0398-415c-8003-506f8541a4fd,48f7ea16-084e-4c61-91b7-57b52d0c86ed,2026-03-11 00:00:00,"JL.RAYA NGEMPLAK,KEMASAN,WIDODOMARTANI,KEC.NGEMPLAK,KAB.SLEMAN,DIY",5,AB 8098 PK,,DELIVERED,,2026-03-11 10:47:06.632,2026-03-11 10:47:06.756,Auto generated dari transaksi TRX-2026-00039. Driver: AKHMAD KHOIRUL BARIUSYAFI
f616b929-f432-4ed2-a0ad-b1cc5f3c3741,3c885417-6319-4be2-8074-f46fd9401b39,2026-03-12 00:00:00,"8CQ5+6VX New ully salon rias dan spa, Jl. Pakem - Turi, blembem, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta",2,AB 8098 PK,,DELIVERED,,2026-03-12 04:55:41.183,2026-03-12 04:55:41.45,Auto generated dari transaksi TRX-2026-00050. Driver: AKHMAD KHOIRUL BARIUSYAFI
14e62cc6-db18-4c32-8061-5996d4d3a35f,e155bf4b-e589-4c5d-b51f-704f75594342,2026-03-11 00:00:00,"JL. NGAGLIK, KARANGLO, SUKOHARJO, NGAGLIK, SLEMAN",9,AB 8098 PK,,DELIVERED,,2026-03-11 10:48:25.869,2026-03-11 10:48:25.987,Auto generated dari transaksi TRX-2026-00040. Driver: AKHMAD KHOIRUL BARIUSYAFI
9216dff6-2a6e-4a87-bf43-bc4d4f560412,7dc4ad5c-7944-4be1-ad52-cc15a7bc489e,2026-03-12 00:00:00,"8CQ5+6VX New ully salon rias dan spa, Jl. Pakem - Turi, blembem, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta",4,AB 8098 PK,,PENDING,,2026-03-12 04:55:41.2,2026-03-12 04:55:41.2,Auto generated dari transaksi TRX-2026-00051. Driver: AKHMAD KHOIRUL BARIUSYAFI
173a5bd8-8ebe-4e62-a034-9844290796d7,4a1835ff-08a7-4c07-b3ac-f0146995ab52,2026-03-12 00:00:00,"JL.RING ROAD UTARA NO.160,PERUMNAS,CONDONG CATUR,CONDONGCATUR,DEPOK,SLEMAN,DIY",22,AB 8098 PK,,PENDING,,2026-03-12 05:40:08.282,2026-03-12 05:40:08.282,Auto generated dari transaksi TRX-2026-00055. Driver: AKHMAD KHOIRUL BARIUSYAFI
ac2b5252-a160-4dc9-ac2f-24185acd4966,bfc0e6ad-60b1-489d-88fb-f172cb717042,2026-03-11 00:00:00,SAHABAT QU,15,AB 8839 UF,330ml : 15,DELIVERED,,2026-03-11 09:06:53.022,2026-03-14 15:24:41.438,Auto generated dari transaksi TRX-2026-00032. Driver: LATHIEF NUR S
9772c06b-1f4e-4a8e-ad12-8c17afabf43c,ad0a5c7f-68f7-4a21-8d27-8eef219db8e3,2026-03-12 00:00:00,"8CQ5+6VX New ully salon rias dan spa, Jl. Pakem - Turi, blembem, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta",2,AB 8098 PK,,PENDING,,2026-03-12 04:55:41.211,2026-03-12 04:55:41.211,Auto generated dari transaksi TRX-2026-00052. Driver: AKHMAD KHOIRUL BARIUSYAFI
3345edd1-5811-45bc-878a-e969ec826e3a,6a17f8d4-d62d-4ee9-8d6a-e24020559eb7,2026-03-12 00:00:00,"8CQ5+6VX New ully salon rias dan spa, Jl. Pakem - Turi, blembem, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta",3,AB 8098 PK,,PENDING,,2026-03-12 04:55:41.223,2026-03-12 04:55:41.223,Auto generated dari transaksi TRX-2026-00053. Driver: AKHMAD KHOIRUL BARIUSYAFI
7432862b-0061-4892-a9ff-3fbadc77b5a9,aa0fabcd-2524-49f4-bd2f-810420eca877,2026-03-12 00:00:00,"JL. WAHID HASYIM, JL. MASJID NO 129, NGROPOH, CONDONGCATUR, DEPOK, SLEMAN",9,AB 8098 PK,,DELIVERED,,2026-03-12 05:45:53.871,2026-03-12 05:45:54.041,Auto generated dari transaksi TRX-2026-00056. Driver: AKHMAD KHOIRUL BARIUSYAFI
8314c8b3-06bb-4527-bea6-07a3a84a2175,077a8091-5053-43a9-b596-9bc81349b74f,2026-03-12 00:00:00,"JL.PERUMNAS NO.168, KLEDOKAN, CONDONGCATUR, KEC.DEPOK, KAB.SLEMAN, DIY",9,AB 8098 PK,,DELIVERED,,2026-03-12 05:56:02.226,2026-03-12 05:56:02.383,Auto generated dari transaksi TRX-2026-00057. Driver: AKHMAD KHOIRUL BARIUSYAFI
2f06424d-c3b6-4ccb-a36c-a67e67f66b1c,c586693d-6593-492f-9c82-ba42554246c9,2026-03-12 00:00:00,"69HX+GG Condong Catur, Sleman Regency, Special Region of Yogyakarta",30,AB 8098 PK,,PENDING,,2026-03-12 06:22:10.071,2026-03-12 06:22:10.071,Auto generated dari transaksi TRX-2026-00059. Driver: AKHMAD KHOIRUL BARIUSYAFI
1c2dcb33-2965-4c55-8664-2247fd707b70,a64f0efd-92b8-4c48-ad33-dce4bb86ab6d,2026-03-12 00:00:00,"69HX+GG Condong Catur, Sleman Regency, Special Region of Yogyakarta",3,AB 8098 PK,,DELIVERED,,2026-03-12 06:22:10.047,2026-03-12 06:22:10.229,Auto generated dari transaksi TRX-2026-00058. Driver: AKHMAD KHOIRUL BARIUSYAFI
ea6c1780-45e1-4951-860b-a6c69a0a14e1,216899e2-2aec-463e-a2a7-6c7896b6b4ce,2026-03-12 00:00:00,Alamat tidak tersedia,2,AB 8098 PK,,PENDING,,2026-03-12 06:36:54.978,2026-03-12 06:36:54.978,Auto generated dari transaksi TRX-2026-00061. Driver: AKHMAD KHOIRUL BARIUSYAFI
2bbc5c84-2c3e-47b9-9c58-e509a0499966,d5f543df-8a3f-402c-bfc3-1e39ee426152,2026-03-12 00:00:00,Alamat tidak tersedia,5,AB 8098 PK,,DELIVERED,,2026-03-12 06:36:54.965,2026-03-12 06:36:55.121,Auto generated dari transaksi TRX-2026-00060. Driver: AKHMAD KHOIRUL BARIUSYAFI
aa6dcd7d-8e18-43d0-811d-7131d86db1f5,90c11450-d37d-4902-810e-8a4e188cf619,2026-03-12 00:00:00,"Jl. Jogja - Solo No.KM.12, RW.5, Kringinan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",9,AB 8098 PK,,DELIVERED,,2026-03-12 07:22:17.021,2026-03-12 07:22:17.209,Auto generated dari transaksi TRX-2026-00065. Driver: AKHMAD KHOIRUL BARIUSYAFI
45817fa7-c2bc-4146-8b43-d4860559a5c6,a97711ab-4449-4eee-8340-5544ad061a1c,2026-03-12 00:00:00,"JL. SANGGRAHAN BERBAH, BERBAH TEGALTIRTO, BERBAH, SLEMAN",3,AB 8098 PK,,DELIVERED,,2026-03-12 07:42:59.515,2026-03-12 07:42:59.749,Auto generated dari transaksi TRX-2026-00066. Driver: AKHMAD KHOIRUL BARIUSYAFI
8d19003d-bd91-479c-b3b2-996a0024e06c,2a1c403f-9aae-41dc-9f6e-5d27c4572323,2026-03-12 00:00:00,TOKO RBW,50,AB 8839 UF,120ml : 50,DELIVERED,,2026-03-12 01:49:35.707,2026-03-14 15:22:53.74,Auto generated dari transaksi TRX-2026-00043. Driver: LATHIEF NUR S
d6530418-c810-48d2-8ca1-52d3071dcd78,7a2d581d-d0b8-4c6b-bd47-59ca0ed22f91,2026-03-12 00:00:00,TOKO DINDA,50,AB 8839 UF,120ml : 50,DELIVERED,,2026-03-12 07:56:34.666,2026-03-12 07:56:34.886,Auto generated dari transaksi TRX-2026-00067. Driver: LATHIEF NUR S
80d96398-096e-489a-b8e2-3c0a0c46a94c,8bbea13c-aeed-40d2-8511-a77762127c17,2026-03-12 00:00:00,TOKO MU,10,AB 8839 UF,120ml : 10 220ml : 10,DELIVERED,,2026-03-12 08:05:03.961,2026-03-14 15:23:01.589,Auto generated dari transaksi TRX-2026-00073. Driver: LATHIEF NUR S
6ccbb235-8021-4580-915c-b0bc460abc77,ee2547a0-57fd-4d8a-a253-8ca57f17a6ed,2026-03-12 00:00:00,TOKO BU SRI WIJIATI,50,AB 8839 UF,120ml : 50 240ml : 30,DELIVERED,,2026-03-12 08:00:49.782,2026-03-14 15:22:40.67,Auto generated dari transaksi TRX-2026-00068. Driver: LATHIEF NUR S
2f2e2fd5-03f0-4dd1-a631-09cbb3a418bb,87652e9d-a95f-4c08-85bb-2e71d1f66d53,2026-03-12 00:00:00,CAMILAN BU TARI,100,AB 8839 UF,120ml : 100,DELIVERED,,2026-03-12 08:02:32.783,2026-03-12 08:02:32.933,Auto generated dari transaksi TRX-2026-00070. Driver: LATHIEF NUR S
2fc5d542-17e5-47fa-95d7-1a382d35c3bd,d26d1607-39db-4fcc-a188-d13c45b39054,2026-03-12 00:00:00,EDERA GLOBAL,5,AB 8839 UF,240ml : 5,DELIVERED,,2026-03-12 08:03:33.213,2026-03-12 08:03:33.361,Auto generated dari transaksi TRX-2026-00071. Driver: LATHIEF NUR S
2c0eb97d-8ec6-44c0-a390-042e487a9c12,59971ef6-c732-4578-b1f3-b70cf6ce8965,2026-03-12 00:00:00,TOKO BU SRI WIJIATI,30,AB 8839 UF,120ml : 50 240ml : 30,DELIVERED,,2026-03-12 08:00:49.795,2026-03-14 15:22:35.033,Auto generated dari transaksi TRX-2026-00069. Driver: LATHIEF NUR S
0ed811cf-1bd5-40da-a7f4-f2e421114147,158d6e28-c794-4fa4-849c-cb90256c315c,2026-03-12 00:00:00,SKY HOTEL,10,AB 8839 UF,600ml : 10,DELIVERED,,2026-03-12 08:05:54.406,2026-03-12 08:05:54.544,Auto generated dari transaksi TRX-2026-00074. Driver: LATHIEF NUR S
edc93f5f-90c4-48e4-b8a7-14235eb02d71,ca8d9314-0a13-4aa2-a541-884a94faf46e,2026-03-12 00:00:00,"JL.RAYA NGEMPLAK,KEMASAN,WIDODOMARTANI,KEC.NGEMPLAK,KAB.SLEMAN,DIY",5,AB 8098 PK,,DELIVERED,,2026-03-12 09:58:12.809,2026-03-12 09:58:13.042,Auto generated dari transaksi TRX-2026-00075. Driver: AKHMAD KHOIRUL BARIUSYAFI
1fbffaec-af11-4bd4-8d7a-95573b0bafed,9ff63d58-0652-4d04-bdb8-e1b3e6ff8fc5,2026-03-12 00:00:00,"68HW+VGW, Jl. Tampomas Raya, Mayaan, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",5,AB 8098 PK,,DELIVERED,,2026-03-12 09:59:00.944,2026-03-12 09:59:01.076,Auto generated dari transaksi TRX-2026-00076. Driver: AKHMAD KHOIRUL BARIUSYAFI
c99f7c7e-e747-442e-b56d-8b75f31cc85f,26627576-cb65-4937-847c-f6ca4ff3ae26,2026-03-12 00:00:00,"JL. RAYA KABUNAN, AREA SAWAH WEDOMARTANI, NGEMPLAK, SLEMAN",5,AB 8098 PK,,DELIVERED,,2026-03-12 10:02:39.88,2026-03-12 10:02:40.025,Auto generated dari transaksi TRX-2026-00077. Driver: AKHMAD KHOIRUL BARIUSYAFI
a843ea6c-d63d-441a-bd67-ddbc53718660,7e5fbd9e-76f3-47df-8d10-b7cf00dcdf60,2026-03-12 00:00:00,"JL. NGAGLIK, KARANGLO, SUKOHARJO, NGAGLIK, SLEMAN",6,AB 8098 PK,,DELIVERED,,2026-03-12 10:03:31.548,2026-03-12 10:03:31.691,Auto generated dari transaksi TRX-2026-00078. Driver: AKHMAD KHOIRUL BARIUSYAFI
b22cd413-f8b1-4864-ba58-a1e874070138,731afbfa-fe84-4fdf-b8bf-1817b7f0509a,2026-03-12 00:00:00,"7CWR+CH4, Jl. Besi Jangkang, Karanglo, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",5,AB 8098 PK,,DELIVERED,,2026-03-12 10:18:16.251,2026-03-12 10:18:16.446,Auto generated dari transaksi TRX-2026-00079. Driver: AKHMAD KHOIRUL BARIUSYAFI
5dfdce7f-230a-406f-b337-afd0e46b100b,bede4626-efa2-4acd-abdc-8c36506b3fa4,2026-03-12 00:00:00,TOKO PUSPA,25,AB 8839 UF,220ml : 25,DELIVERED,,2026-03-12 10:45:25.756,2026-03-14 15:25:42.423,Auto generated dari transaksi TRX-2026-00087. Driver: LATHIEF NUR S
d6f66a12-54b2-4ab9-9fbf-2cfb0ae3bfa9,ecf68108-bdc6-436c-b2fa-589a4a38fe16,2026-03-12 00:00:00,TOKO SURYA JAYA,20,AB 8839 UF,120ml : 20 240ml : 20,DELIVERED,,2026-03-12 10:40:21.967,2026-03-12 10:40:22.116,Auto generated dari transaksi TRX-2026-00080. Driver: LATHIEF NUR S
da8d225a-9e03-48eb-8da4-5cad081752ba,d04afcfd-b0fc-4b80-af34-6686131323a3,2026-03-12 00:00:00,TOKO MITRA JAYA,3,AB 8839 UF,330ml : 3 600ml : 2,DELIVERED,,2026-03-12 10:42:54.451,2026-03-12 10:42:54.608,Auto generated dari transaksi TRX-2026-00083. Driver: LATHIEF NUR S
829a0cdf-98d8-4917-b789-c9d00c76aac0,6f738cfe-92f2-4373-9bc4-91bf6c40e711,2026-03-12 00:00:00,TOKO ALDITO,10,AB 8839 UF,120ml : 10,DELIVERED,,2026-03-12 10:43:46.343,2026-03-12 10:43:46.472,Auto generated dari transaksi TRX-2026-00085. Driver: LATHIEF NUR S
1a55b1f4-649f-4749-9375-067dfeb96547,24649bd3-24c4-4b55-94c8-2f8c85515ecc,2026-03-12 00:00:00,LARISSA JOMBOR,15,AB 8839 UF,120ml : 15,DELIVERED,,2026-03-12 10:44:36.637,2026-03-12 10:44:36.785,Auto generated dari transaksi TRX-2026-00086. Driver: LATHIEF NUR S
c0aef186-41e7-400e-88ba-e20af20f103d,8e3e1b19-1577-4e4f-a531-74b773681017,2026-03-12 00:00:00,TOKO SURYA JAYA,40,AB 8839 UF,120ml : 20 240ml : 20,DELIVERED,,2026-03-12 10:40:21.981,2026-03-12 10:46:43.173,Auto generated dari transaksi TRX-2026-00081. Driver: LATHIEF NUR S
b270cbce-4d64-410d-83c2-8705f50541e1,3db44b7b-ad3f-469e-8fa0-0dca54391ce1,2026-03-12 00:00:00,TOKO DINDA,50,AB 8839 UF,120ml : 50,DELIVERED,,2026-03-12 10:41:34.146,2026-03-12 10:47:03.714,Auto generated dari transaksi TRX-2026-00082. Driver: LATHIEF NUR S
1fff17ab-b8b5-41de-99a0-2cd4461adff5,2ff3194c-c771-4574-9d92-7ef5056cd4e0,2026-03-12 00:00:00,TOKO MITRA JAYA,2,AB 8839 UF,330ml : 3 600ml : 2,DELIVERED,,2026-03-12 10:42:54.463,2026-03-12 10:47:07.827,Auto generated dari transaksi TRX-2026-00084. Driver: LATHIEF NUR S
4b191a2b-150c-49ac-ae50-45cb3588df57,90368a58-1953-4991-9431-01c35fc35745,2026-03-12 00:00:00,LATIF ARBAS,4,AB 8839 UF,120ml : 4,DELIVERED,,2026-03-12 10:46:05.344,2026-03-12 10:47:12.705,Auto generated dari transaksi TRX-2026-00088. Driver: LATHIEF NUR S
